localizeID,english,traditional Chinese,simplified chinese,spanish,french,german,japanese,russian,french,dutch,italian
,,,,,,,,,,,
information,"place # for every new line
place $ for every comma",,,,,,,,,,
language name,english,繁體中文,简体中文,Русский,,Deutsch,,Русский,Français,dutch,italiano
resources,,,,,,,,,,,
names,,,,,,,,,,,
resource_name_default,a thing,一個物品,一个物品,вещица,,ein Ding,,вещица,une chose,een ding,una cosa
resource_name_twig,twig,樹枝,树枝,веточка,,Zweig,,веточка,brindille,takje,ramo
resource_name_rock,rock,石頭,石头,камень,,Stein,,камень,pierre,steen,roccia
resource_name_log,log,樹幹,原木,бревно,,Holz,,бревно,bûche,boomstam,ceppo
resource_name_flint,flint,燧石,燧石,кремень,,Feuerstein,,кремень,silex,vuursteen,pietra focaia
resource_name_coal,coal,煤炭,煤炭,уголь,,Kohle,,уголь,charbon,kool,carbone
resource_name_herb,herb,藥草,草药,травы,,Heilkraut,,травы,herbe,kruid,erba
resource_name_ore,ore,礦物,矿石,руда,,Erz,,руда,minerai,erts,minerali
resource_name_gold_ore,gold ore,金礦,金矿,золотая руда,,Golderz,,золотая руда,minerai d'or,gouderts,minerale d'oro
resource_name_poop,poop,糞便,粪便,экскременты,,Haufen,,экскременты,excrément,poep,cacca
resource_name_raw_drumstick,raw drumstick,生雞腿,生鸡腿,сырая дичь,,rohe Keule,,сырая дичь,pilon de poulet,rauwe kippenbout,
resource_name_bone,bone,骨頭,骨头,кость,,Knochen,,кость,os,bot,osso
resource_name_feather,feather,羽毛,羽毛,перо,,Feder,,перо,plume,veer,piuma
resource_name_coral,coral,珊瑚,珊瑚,корал,,Koralle,,корал,corail/coraux(plural),koraal,corallo
resource_name_clay,clay,黏土,粘土,глина,,Lehm,,глина,argile,klei,argilla
resource_name_brick,brick,磚頭,砖块,кирпич,,Backstein,,кирпич,brique,baksteen,mattone
resource_name_metal,metal,合金,金属,метал,,Metall,,метал,metal,metaal,metallo
resource_name_gold_bar,gold bar,金條,金块,золотой слиток,,Goldbarren,,золотой слиток,lingot d'or,goudstaaf,lingotto d'oro
resource_name_sand,sand,沙,沙,песок,,Sand,,песок,sable,zand,sabbia
resource_name_oil_drum,oil drum,油桶,油桶,барель нефти,,Ölfass,,барель нефти,bidon de pétrole,olievat,
resource_name_glass,glass,玻璃,玻璃,стекло,,Glas,,стекло,verre,glas,vetro
resource_name_battery,battery,電池,电池,батарейка,,Batterie ,,батарейка,batterie,batterij,batteria
resource_name_sulfur,sulfur,硫磺,硫磺,сера,,Schwefel,,сера,soufre,zwavel,zolfo
resource_name_gunpowder,gunpowder,火藥,火药,порох,,Schießpulver,,порох,poudre à canon,buskruit,polvere da sparo
resource_name_egg,egg,蛋,蛋,яйцо,,Ei,,яйцо,oeuf,ei,uovo
resource_name_wool,wool,羊毛,羊毛,шерсть,,Wolle,,шерсть,laine,wol,lana
resource_name_cloth,cloth,布料,布,ткань,,Stoff,,ткань,tissu,stof,vestito
resource_name_raw_meat,raw meat,生肉,生肉,сырое мясо,,rohes Fleisch,,сырое мясо,viande crue,rauw vlees,carne cruda
resource_name_ice,ice,冰,冰,лёд,,Eis,,лёд,glace,ijs,ghiaccio
resource_name_fish,fish,魚,鱼,рыба,,Fisch,,рыба,poisson,vis,pesce
resource_name_water,water,水,水,вода,,Wasser,,вода,eau,water,acqua
resource_name_flour,flour,麵粉,面粉,мука,,Mehl,,мука,farine,bloem,farina
resource_name_leather,leather,皮革,皮革,кожа,,Leder,,кожа,cuir,leer,pelle
resource_name_venom,venom,毒液,毒液,яд,,Gift,,яд,venin,gif,veleno
resource_name_plutonium,plutonium,鈽元素,钚元素,плутоний,,Plutonium,,плутоний,plutonium,plutonium,plutonio
resource_name_salt,salt,鹽,盐,соль,,Salz,,соль,sel,zout,sale
,,,,,,,,,,0,
info,,,,,,,,,,,
resource_info_default,,,,,,,,,,,
resource_info_twig,"twig, used for tools",樹枝，用來製作工具,树枝，用于制作工具,"веточка, для создания инструментов",,"Zweig, für Werkzeuge",,"веточка, для создания инструментов","brindille, utilisée pour les outils","takje, gebruikt voor gereedschap","ramo, usato per creare utensili"
resource_info_rock,"rock, used for many things",石頭，用來製作很多東西,石头，用于制作很多东西,"камень, имеет много применений",,"Stein, für viele Dinge",,"камень, имеет много применений","pierre, utilisée pour différentes choses","steen, gebruikt voor veel dingen","roccia, usato per varie cose"
resource_info_log,"log, used for many things",樹幹，用來製作很多東西,原木，用于制作很多东西,"бревно, имеет много применений",,"Holz, für viele Dinge",,"бревно, имеет много применений","bûche, utilisée pour différentes choses","boomstam, gebruikt voor veel dingen","ceppo, usato per varie cose"
resource_info_flint,"flint, sharp and can make sparks",燧石，很鋒利，也可以用來製造火花,燧石，很锋利，能产生火花,"кремень, острый и высекает искры",,"Feuerstein, scharf und macht Funken",,"кремень, острый и высекает искры","silex, tranchant et peut servir pour faire des étincelles",,"pietra focaia, scintillante e crea scintille"
resource_info_coal,"coal, is used as fuel for the oven",煤炭，通常作為烤爐的燃料,煤炭，常用于烤炉的燃料,"уголь, топливо для печей",,"Kohle, Brennmaterial für den Ofen",,"уголь, топливо для печей","charbon, utilisé comme carburant pour le four",,"carbone, usato come carburante nel calderone"
resource_info_herb,"herb, used for medication if researched",藥草，研究之後可以用於醫學,草药，研究后可用于治疗,"травы, используються в медицине если это применение было открыто",,"Heilkraut, für Medizin (wenn erforscht)",,"травы, используються в медицине если это применение было открыто","herbe, utilisé pour les médicaments si recherché",,"erbe, usate nei medicinali se ricercate"
resource_info_ore,"ore, can be refined into metal with a smelter if researched",礦物，研究之後可以用熔煉爐製成合金,矿石，研究后能用熔炼炉精炼为金属,"руда, переплавляется в метал в плавильне если она открыта",,"Erz, kann in Metall geschmolzen werden (wenn erforscht)",,"руда, переплавляется в метал в плавильне если она открыта","minerai,peut être raffiné en métal avec une fonderie si recherché",,"metalli, possono essere raffinati nel metallo con un raffinatore se ricercati"
resource_info_gold_ore,"gold ore, can be refined into a gold bar with a smelter if researched",金礦，研究之後可以用熔煉爐製成金條,金矿，研究后能用熔炼炉精炼为金条,"золотая руда, переплавляется в золотые слитки в плавильне если она открыта",,"Golderz, kann in Goldbarren geschmolzen werden (wenn erforscht)",,"золотая руда, переплавляется в золотые слитки в плавильне если она открыта","minerai d'or, peut être raffiné en lingot d'or avec une fonderie si recherché",,
resource_info_poop,"poop, used for farms",糞便，用於農田,粪便，用于农田,"экскременты, используються фермами",,"Haufen, für Landwirtschaft",,"экскременты, используються фермами","excrément, utilisé pour les fermes",,
resource_info_raw_drumstick,"raw drumstick, not edible, can be cooked",生雞腿，不可食用，可烹飪,生鸡腿，不可食用，可以烹饪,"сырая дичь, несъедобна, можно приготовить",,"Rohe Keule, nicht essbar, kann gekocht werden",,"сырая дичь, несъедобна, можно приготовить","pilon de poulet, non comestible, peut être cuit",,
resource_info_bone,"bone, can be mashed into bone meal",骨頭，可以打碎成為骨粉,骨头，可被粉碎为骨粉,"кости, можно перемолоть в костную муку",,"Knochen, kann in Knochenmehl zerhauen werden",,"кости, можно перемолоть в костную муку","os, peut être broyé en poudre d'os",,
resource_info_feather,"feather, used for writing",羽毛，用於寫字,羽毛，用于写字,"перо, используется для письма",,"Feder, zum Schreiben",,"перо, используется для письма","plume, utilisée pour écrire",,
resource_info_coral,"coral, used for advanced medication",珊瑚，用於進階藥學,珊瑚，用于高级治疗,"корал, используется в продвинутой медицине",,"Koralle, für forgeschrittene Medizin",,"корал, используется в продвинутой медицине","corail, utilisé pour médecine avancée",,
resource_info_clay,"clay, can be baked into bricks at an oven",黏土，可以在烤爐中烤成磚頭,粘土，可以在烤炉中烧成砖块,"глина, можно спечь из нее кирпичи",,"Lehm, kann in Backsteine gebacken werden",,"глина, можно спечь из нее кирпичи","argile, peut être cuit en briques au four",,
resource_info_brick,brick,磚頭,砖块,кирпич,,Backstein,,кирпич,brique,,
resource_info_metal,metal,合金,金属,метал,,Metall,,метал,métal,,
resource_info_gold_bar,gold bar,金條,金块,золотой слиток,,Goldbarren,,золотой слиток,lingot d'or,,
resource_info_sand,"sand, can be refined into glass at a smelter if researched",沙，研究之後可以用熔煉爐製成玻璃,沙，研究后能用熔炼炉精炼为玻璃,"песок, можно переплавить в стекло если открыта плавильня",,"Sand, kann in Glas geschmolzen werden (wenn erforscht)",,"песок, можно переплавить в стекло если открыта плавильня","sable, peut être raffiné en sable dans une fonderie si recherché",,
resource_info_oil_drum,oil drum,油桶,油桶,барель нефти,,Ölfass,,барель нефти,bidon de pétrole,,
resource_info_glass,glass,玻璃,玻璃,стекло,,Glas,,стекло,verre,,
resource_info_battery,battery,電池,电池,батарейка,,Batterie,,батарейка,batterie,,
resource_info_sulfur,"sulfur, used for explosives",硫磺，用於爆裂物,硫磺，用于制造炸药,"сера, используется для изготовления взрывчатки",,"Schwefel, für Sprengstoffe",,"сера, используется для изготовления взрывчатки","soufre, utilisé pour les explosifs",,
resource_info_gunpowder,"gunpowder, flammable and dangerous",火藥，易燃且危險,火药，易燃且危险,"порох, огнеопасен",,"Schießpulver, brennbar und gefährlich",,"порох, огнеопасен","poudre à canon, inflammable et dangereux",,
resource_info_egg,egg,蛋,蛋,яйцо,,Ei,,яйцо,oeuf,,
resource_info_wool,"wool, can be spun into cloth",羊毛，可以織成布料,羊毛，可织成布料,"шерсть, можно спрясти из нее ткань",,"Wolle, kann in Stoff gesponnen werden",,"шерсть, можно спрясти из нее ткань","laine, peut être transformée en tissu",,
resource_info_cloth,"cloth, used for clothes",布料，用來製作衣服,布料，可制作衣服,"ткань, используется в изготовленнии одежды",,"Stoff, für Kleidung",,"ткань, используется в изготовленнии одежды","tissu, utilisé pour faire des vêtements",,
resource_info_raw_meat,"raw meat, not edible, can be cooked",生肉，不可食用，可烹飪,生肉，不可食用，可烹饪,"сырое мясо, несъедобно, можно приготовить",,"Rohes Fleisch, nicht essbar, kann gekocht werden",,"сырое мясо, несъедобно, можно приготовить","viande crue, non comestible, peut être cuisiné",,
resource_info_ice,ice,冰,冰,лёд,,Eis,,лёд,glace,,
resource_info_fish,"dead fish, not edible, can be cooked",死魚，不可食用，可烹飪,死鱼，不可食用，可烹饪,"мёртвая рыба, несъедобна, можно приготовить",,"Toter Fisch, nicht essbar, kann gekocht werden",,"мёртвая рыба, несъедобна, можно приготовить","poisson mort, peut être cuisiné",,
resource_info_water,water,水,水,вода,,Wasser,,вода,eau,,
resource_info_flour,flour,麵粉,面粉,мука,,Mehl,,мука,farine,,
resource_info_leather,"leather, used for clothes",皮革，用來製作衣服,皮革，可制作衣服,"кожа, используется в изготовлении одежды",,"Leder, für Kleidung",,"кожа, используется в изготовлении одежды","cuir, utilisé pour les vêtements",,
resource_info_venom,"venom, used for medicine",毒液，用來做藥物,毒液，可制作药物,"яд, используется в медицине",,"Gift, für Medizin",,"яд, используется в медицине",venin utilisé pour la médecine,,
resource_info_plutonium,plutonium,鈽元素,钸元素,плутоний,,Plutonium,,плутоний,plutonium,,
resource_info_salt,"salt, used to improve food",鹽，用於食物提味,盐，用于食物提味,"соль, используется для улучшения еды",,"Salz, verbessert Essen",,"соль, используется для улучшения еды","sel, utilisé pour améliorer la nourriture",,
,,,,,,,,,,,
comp info,,,,,,,,,,0,
resource_comp_info_default,nothing to see here,這裡沒有東西,这里没有东西,здесь нет ничего интерестного,,Hier ist nichts zu sehen,,здесь нет ничего интерестного,rien à voir ici,0,
resource_comp_info_twig,simple resource#dropped by brambles$ bushes and some trees,基礎資源#從灌木$ 樹叢和某些樹木產生,基础资源#产自荆棘$灌木和某些树木,простой ресурс#добывается из ежевики$ кустов и некоторых деревьев,,"Einfacher Rohstoff#wird aus Sträuchen, Büschen und einigen Bäumen gewonnen",,простой ресурс#добывается из ежевики$ кустов и некоторых деревьев,ressource basique#lâché par les ronces et certaines arbes,0,
resource_comp_info_rock,simple resource#dropped by boulders and ore deposits,基礎資源#從岩石和礦床產出,基础资源#产自岩石和矿床,простой ресурс#добывается из булыжников и рудников,,Einfacher Rohstoff#wird aus Steinen und Erzvorkommen gewonnen,,простой ресурс#добывается из булыжников и рудников,ressource basique#lâché par les rochés et les dépôts de minerai,,
resource_comp_info_log,simple resource#dropped by trees,基礎資源#從樹木產出,基础资源#产自树木,простой ресурс#добывается из деревьев,,Einfacher Rohstoff#wird aus Bäumen gewonnen,,простой ресурс#добывается из деревьев,ressource basique#lâché par les arbres,0,
resource_comp_info_flint,simple resource#dropped by boulders,基礎資源#從岩石產出,基础资源#产自岩石,простой ресурс# добывается из булыжников,,Einfacher Rohstoff#wird aus Felsen gewonnen,,простой ресурс# добывается из булыжников,ressource basique#lâché par les rochers,0,
resource_comp_info_coal,simple resource#dropped by burnt trees or obtained through burning logs in an oven,基礎資源#來自燒焦的樹，或是用烤爐加工樹幹,基础资源#产自烧焦的树木，或者经烤炉加工过的原木,простой ресурс#добывается из сожженых деревьев или при спаливании брёвен в печи,,Einfacher Rohstoff#wird aus verbrannten Bäumen oder durch verbrennen von Bäumen in Öfen gewonnen,,простой ресурс#добывается из сожженых деревьев или при спаливании брёвен в печи,ressource basique#lâché par les arbres brulés ou obtenu par du bois brulé dans le four,0,
resource_comp_info_herb,simple resource#dropped by herbs#needed for medication,基礎資源#從藥草產出#藥學的必需品,基础资源#产自草药#治疗的必需品,простой ресурс#добывается из трав#необходим для лечения,,Einfacher Rohstoff#wird aus Heilkräutern gewonnen#wird für Medizin benötigt,,простой ресурс#добывается из трав#необходим для лечения,ressource basique#lâché par les herbes#nécessaire pour le médicament,0,
